,total,paid_total,balance,breakdowns_labor_0_hours,breakdowns_labor_0_rate,breakdowns_material_0_rate,Slug,Total,Labor0Breakdown_quantity0total0,Labor0Breakdown_hourstotal,Labor0Breakdown_ratetotal,target
138,6464.0,6464.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0
140,7060.0,0.0,7060.0,8.0,0.0,0.0,136.0,7060.0,3.0,8.0,0.0,0
142,17890.0,0.0,17890.0,0.0,0.0,0.0,138.0,17890.0,0.0,0.0,0.0,0
145,1950.0,0.0,1950.0,0.0,0.0,0.0,142.0,1950.0,0.0,0.0,0.0,0
149,0.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,0
152,17900.0,17900.0,0.0,0.0,0.0,0.0,293.0,17900.0,0.0,0.0,0.0,0
154,28320.0,23000.0,5320.0,1.0,28320.0,0.0,296.0,0.0,1.0,1.0,28320.0,0
157,2800.0,2800.0,0.0,1.0,2800.0,0.0,299.0,0.0,1.0,1.0,2800.0,0
158,8550.0,8550.0,0.0,1.0,8550.0,0.0,301.0,0.0,1.0,1.0,8550.0,0
161,12320.0,12320.0,0.0,1.0,12320.0,0.0,313.0,0.0,1.0,1.0,12320.0,0
162,1394.0,1394.0,0.0,1.0,2250.0,0.0,314.0,1394.0,1.0,1.0,2250.0,0
163,11000.0,11000.0,0.0,1.0,11000.0,0.0,315.0,0.0,1.0,1.0,11000.0,0
164,15440.0,3250.0,12190.0,1.0,15440.0,0.0,316.0,0.0,1.0,1.0,165.0,0
165,3675.0,3675.0,0.0,1.0,3675.0,0.0,317.0,0.0,1.0,1.0,165.0,0
169,2648.0,0.0,2648.0,1.0,11748.0,0.0,364.0,2648.0,1.0,1.0,11748.0,0
171,0.0,5370.0,-5370.0,0.0,0.0,0.0,371.0,777.0,0.0,0.0,0.0,0
172,0.0,5490.0,-5490.0,0.0,0.0,0.0,379.0,0.0,0.0,0.0,0.0,0
173,-790.0,-790.0,0.0,0.0,0.0,0.0,380.0,-790.0,0.0,0.0,0.0,0
