total,paid_total,balance,breakdowns_labor_0_hours,breakdowns_labor_0_rate,breakdowns_material_0_rate,Slug,Total,Labor0Breakdown_quantity0total0,Labor0Breakdown_hourstotal,Labor0Breakdown_ratetotal
8560.00,0.00,8560.00,8.00,205.00,0.00,100.00,0.00,5.00,18.00,405.00
1300.00,0.00,1300.00,8.00,0.00,0.00,101.00,1300.00,3.00,16.00,0.00
7000.00,0.00,7000.00,8.00,172.00,856.00,102.00,8390.00,5.00,16.00,298.00
4460.00,0.00,4460.00,8.00,0.00,0.00,103.00,4460.00,1.00,8.00,0.00
5806.00,0.00,5806.00,8.00,165.00,1246.00,108.00,0.00,4.00,14.00,325.00
2160.00,0.00,2160.00,8.00,45.00,0.00,110.00,0.00,6.00,8.00,45.00
8255.44,0.00,8255.44,8.00,172.23,718.00,111.00,0.00,6.00,16.00,172.23
5850.00,0.00,5850.00,8.00,172.00,1082.00,113.00,0.00,4.00,16.00,298.00
14940.00,0.00,14940.00,8.00,0.00,0.00,114.00,14940.00,6.00,16.00,0.00
7722.00,0.00,7722.00,8.00,172.00,570.00,115.00,0.00,6.00,16.00,298.00
5248.00,0.00,5248.00,8.00,172.00,480.00,116.00,0.00,4.00,16.00,298.00
3258.00,0.00,3258.00,8.00,172.00,370.00,118.00,0.00,3.00,14.00,298.00
5310.00,0.00,5310.00,8.00,205.00,430.00,120.00,0.00,3.00,16.00,405.00
6800.00,0.00,6800.00,0.00,0.00,0.00,121.00,6800.00,0.00,0.00,0.00
1473.00,0.00,1473.00,8.00,165.00,153.00,122.00,0.00,1.00,8.00,165.00
4090.00,0.00,4090.00,8.00,172.00,330.00,123.00,0.00,3.00,16.00,298.00
490.00,0.00,490.00,2.00,165.00,0.00,124.00,0.00,2.00,3.00,325.00
1640.00,0.00,1640.00,8.00,205.00,0.00,126.00,0.00,1.00,8.00,205.00
943.00,0.00,943.00,2.00,172.00,347.00,127.00,0.00,2.00,4.00,298.00
1416.00,0.00,1416.00,4.00,172.00,350.00,128.00,0.00,2.00,7.00,298.00
2095.00,0.00,2095.00,8.00,172.00,215.00,129.00,0.00,2.00,12.00,298.00
660.00,0.00,660.00,4.00,165.00,0.00,131.00,0.00,1.00,4.00,165.00
9764.00,0.00,9764.00,0.00,0.00,0.00,132.00,9764.00,0.00,0.00,0.00
344.00,344.00,0.00,0.00,0.00,0.00,133.00,0.00,0.00,0.00,0.00
6464.00,6464.00,0.00,0.00,0.00,0.00,134.00,0.00,0.00,0.00,0.00
2270.00,0.00,2270.00,6.00,165.00,290.00,135.00,0.00,2.00,6.00,165.00
7060.00,0.00,7060.00,8.00,0.00,0.00,136.00,7060.00,3.00,8.00,0.00
2005.00,0.00,2005.00,11.00,165.00,190.00,137.00,0.00,1.00,11.00,165.00
17890.00,0.00,17890.00,0.00,0.00,0.00,138.00,17890.00,0.00,0.00,0.00
8200.00,0.00,8200.00,8.00,205.00,0.00,139.00,0.00,5.00,8.00,205.00
9840.00,0.00,9840.00,24.00,205.00,0.00,140.00,0.00,2.00,24.00,205.00
1950.00,0.00,1950.00,0.00,0.00,0.00,142.00,1950.00,0.00,0.00,0.00
2704.00,0.00,2704.00,6.00,172.00,640.00,143.00,0.00,2.00,6.00,172.00
10100.00,0.00,10100.00,16.00,165.00,900.00,144.00,0.00,4.00,24.00,325.00
830.00,0.00,830.00,2.00,165.00,180.00,145.00,0.00,2.00,4.00,325.00
0.00,0.00,0.00,0.00,0.00,0.00,284.00,0.00,0.00,0.00,0.00
2900.00,0.00,2900.00,16.00,160.00,340.00,290.00,0.00,1.00,16.00,160.00
6720.00,0.00,6720.00,42.00,160.00,0.00,291.00,0.00,1.00,42.00,160.00
17900.00,17900.00,0.00,0.00,0.00,0.00,293.00,17900.00,0.00,0.00,0.00
14730.00,10000.00,4730.00,15.00,50.00,0.00,295.00,0.00,22.00,31.00,50.00
28320.00,23000.00,5320.00,1.00,28320.00,0.00,296.00,0.00,1.00,1.00,28320.00
4960.00,4960.00,0.00,21.00,160.00,550.00,297.00,0.00,2.00,28.00,310.00
4010.00,4010.00,0.00,21.00,160.00,650.00,298.00,0.00,1.00,21.00,160.00
2800.00,2800.00,0.00,1.00,2800.00,0.00,299.00,0.00,1.00,1.00,2800.00
8550.00,8550.00,0.00,1.00,8550.00,0.00,301.00,0.00,1.00,1.00,8550.00
650.00,650.00,0.00,1.00,650.00,0.00,308.00,0.00,1.00,1.00,650.00
2240.00,0.00,2240.00,14.00,160.00,0.00,309.00,0.00,1.00,14.00,160.00
12320.00,12320.00,0.00,1.00,12320.00,0.00,313.00,0.00,1.00,1.00,12320.00
1394.00,1394.00,0.00,1.00,2250.00,0.00,314.00,1394.00,1.00,1.00,2250.00
11000.00,11000.00,0.00,1.00,11000.00,0.00,315.00,0.00,1.00,1.00,11000.00
15440.00,3250.00,12190.00,1.00,15440.00,0.00,316.00,0.00,1.00,1.00,165.00
3675.00,3675.00,0.00,1.00,3675.00,0.00,317.00,0.00,1.00,1.00,165.00
3975.00,3975.00,0.00,14.00,160.00,650.00,319.00,0.00,2.00,21.00,325.00
5580.00,5580.00,0.00,14.00,160.00,1100.00,320.00,0.00,2.00,14.00,165.00
768.00,768.00,0.00,4.00,160.00,0.00,358.00,0.00,1.00,4.00,160.00
2648.00,0.00,2648.00,1.00,11748.00,0.00,364.00,2648.00,1.00,1.00,11748.00
9125.00,8800.00,325.00,18.00,150.00,1000.00,367.00,0.00,2.00,53.00,305.00
0.00,5370.00,-5370.00,0.00,0.00,0.00,371.00,777.00,0.00,0.00,0.00
0.00,5490.00,-5490.00,0.00,0.00,0.00,379.00,0.00,0.00,0.00,0.00
-790.00,-790.00,0.00,0.00,0.00,0.00,380.00,-790.00,0.00,0.00,0.00
-1200.00,-1200.00,0.00,0.00,0.00,0.00,381.00,-1200.00,0.00,0.00,0.00
2640.00,2640.00,0.00,0.00,0.00,0.00,387.00,2640.00,0.00,0.00,0.00
2970.00,2970.00,0.00,7.00,155.00,800.00,403.00,0.00,2.00,7.00,155.00
3490.00,3490.00,0.00,6.00,145.00,450.00,405.00,0.00,3.00,13.00,300.00
15275.00,15275.00,0.00,0.00,0.00,0.00,410.00,15275.00,0.00,0.00,0.00
8820.00,8820.00,0.00,0.00,0.00,0.00,411.00,8820.00,0.00,0.00,0.00
705.00,705.00,0.00,4.00,155.00,85.00,412.00,0.00,1.00,4.00,155.00
3655.00,3655.00,0.00,21.00,155.00,400.00,413.00,0.00,1.00,21.00,155.00
-6200.00,-6200.00,0.00,0.00,0.00,0.00,414.00,-6200.00,0.00,0.00,0.00
5155.00,5155.00,0.00,0.00,0.00,0.00,415.00,5155.00,0.00,0.00,0.00
32000.00,32000.00,0.00,0.00,0.00,0.00,416.00,32000.00,0.00,0.00,0.00
960.00,960.00,0.00,5.00,160.00,0.00,425.00,0.00,1.00,5.00,160.00
11550.00,11550.00,0.00,58.00,145.00,0.00,436.00,11550.00,2.00,79.00,290.00
1240.00,1240.00,0.00,8.00,130.00,200.00,437.00,0.00,1.00,8.00,130.00
1220.00,1220.00,0.00,4.00,155.00,150.00,442.00,0.00,2.00,7.00,305.00
-7565.00,-7565.00,0.00,0.00,0.00,0.00,443.00,-7565.00,0.00,0.00,0.00
1230.00,1230.00,0.00,7.00,160.00,200.00,448.00,1230.00,1.00,7.00,160.00
2495.00,2495.00,0.00,14.00,155.00,325.00,459.00,0.00,1.00,14.00,155.00
2900.00,2900.00,0.00,7.00,200.00,200.00,467.00,2900.00,3.00,27.00,1190.00
0.00,0.00,0.00,7.00,150.00,158.00,468.00,0.00,1.00,7.00,150.00
-1980.00,-1980.00,0.00,0.00,0.00,0.00,471.00,-1980.00,0.00,0.00,0.00
8602.00,8602.00,0.00,28.00,154.00,0.00,472.00,8602.00,2.00,28.00,154.00
1685.00,1100.00,585.00,7.00,155.00,0.00,484.00,0.00,2.00,11.00,305.00
1200.00,1200.00,0.00,0.00,0.00,0.00,489.00,1200.00,0.00,0.00,0.00
2890.00,1500.00,1390.00,14.00,160.00,650.00,493.00,0.00,2.00,15.00,160.00
2890.00,1500.00,1390.00,14.00,160.00,650.00,494.00,0.00,2.00,15.00,160.00
1785.02,1785.00,0.02,3.00,160.00,0.00,495.00,0.00,3.00,3.00,160.00
15975.00,15975.00,0.00,0.00,0.00,0.00,499.00,15975.00,0.00,0.00,0.00
47100.00,47100.00,0.00,0.00,0.00,0.00,501.00,47100.00,0.00,0.00,0.00
6800.00,6800.00,0.00,0.00,0.00,0.00,503.00,6800.00,0.00,0.00,0.00
1975.00,1975.00,0.00,13.00,0.00,0.00,505.00,1975.00,1.00,13.00,0.00
1666.35,1666.00,0.35,7.00,149.00,0.00,507.00,1666.35,2.00,14.00,304.00
550.00,550.00,0.00,10.00,0.00,0.00,508.00,550.00,1.00,10.00,0.00
750.00,750.00,0.00,10.00,0.00,0.00,509.00,750.00,2.00,14.00,0.00
8243.00,8243.00,0.00,0.00,0.00,0.00,511.00,8243.00,0.00,0.00,0.00
13474.00,13474.00,0.00,0.00,0.00,0.00,512.00,13474.00,0.00,0.00,0.00
1288.00,1288.00,0.00,7.00,160.00,0.00,513.00,0.00,1.00,7.00,160.00
735.00,735.00,0.00,7.00,0.00,0.00,514.00,735.00,2.00,14.00,0.00
4294.00,4294.00,0.00,0.00,0.00,0.00,521.00,4294.00,0.00,0.00,0.00
2600.00,2600.00,0.00,7.00,0.00,0.00,534.00,2600.00,2.00,7.00,0.00
15550.00,15550.00,0.00,0.00,0.00,0.00,538.00,15550.00,0.00,0.00,0.00
2660.00,2660.00,0.00,0.00,0.00,0.00,539.00,2660.00,0.00,0.00,0.00
-38040.00,-38040.00,0.00,0.00,0.00,0.00,540.00,-38040.00,0.00,0.00,0.00
27000.00,27000.00,0.00,0.00,0.00,0.00,541.00,27000.00,0.00,0.00,0.00
-2470.00,-2470.00,0.00,0.00,0.00,0.00,549.00,-2470.00,0.00,0.00,0.00
11985.00,11985.00,0.00,0.00,0.00,0.00,551.00,11985.00,0.00,0.00,0.00
80000.00,80000.00,0.00,0.00,0.00,0.00,554.00,80000.00,0.00,0.00,0.00
2520.00,2520.00,0.00,7.00,160.00,0.00,555.00,2520.00,2.00,7.00,160.00
5580.00,5580.00,0.00,0.00,0.00,0.00,559.00,5580.00,0.00,0.00,0.00
4500.00,4500.00,0.00,0.00,0.00,0.00,563.00,4500.00,2.00,18.00,325.00
5120.00,5120.00,0.00,0.00,0.00,0.00,564.00,5120.00,0.00,0.00,0.00
2648.00,2648.00,0.00,0.00,0.00,0.00,565.00,2648.00,0.00,0.00,0.00
2100.00,2100.00,0.00,0.00,0.00,0.00,569.00,2100.00,0.00,0.00,0.00
4500.00,4500.00,0.00,0.00,0.00,0.00,572.00,4500.00,0.00,0.00,0.00
10000.00,7190.00,2810.00,21.00,160.00,0.00,574.00,10000.00,2.00,49.00,325.00
1190.00,1190.00,0.00,10.00,165.00,0.00,576.00,1190.00,2.00,15.00,325.00
3260.02,3260.00,0.02,10.00,165.00,0.00,577.00,0.00,2.00,16.00,325.00
4646.00,4646.00,0.00,21.00,165.00,0.00,578.00,4646.00,2.00,35.00,325.00
2656.00,2656.00,0.00,14.00,165.00,0.00,579.00,0.00,1.00,14.00,165.00
1815.00,2090.00,-275.00,11.00,165.00,0.00,580.00,0.00,1.00,11.00,165.00
785.00,785.00,0.00,4.00,165.00,0.00,581.00,0.00,1.00,4.00,165.00
795.00,795.00,0.00,4.00,165.00,0.00,582.00,0.00,1.00,4.00,165.00
955.62,955.00,0.62,12.00,160.00,0.00,583.00,955.62,2.00,28.00,325.00
1790.00,1790.00,0.00,3.00,160.00,0.00,584.00,0.00,2.00,9.00,325.00
4470.03,2235.00,2235.03,9.00,205.00,0.00,585.00,0.00,2.00,9.00,205.00
3805.02,3805.00,0.02,7.00,160.00,0.00,586.00,0.00,2.00,21.00,325.00
5805.01,4651.62,1153.39,14.00,160.00,0.00,588.00,0.00,2.00,31.00,325.00
660.00,660.00,0.00,4.00,165.00,0.00,589.00,0.00,1.00,4.00,165.00
1780.00,1040.00,740.00,7.00,165.00,0.00,590.00,0.00,1.00,7.00,165.00
1155.00,1155.00,0.00,7.00,165.00,0.00,591.00,1155.00,1.00,7.00,165.00
2616.25,2616.00,0.25,7.00,160.00,0.00,592.00,0.00,2.00,14.00,325.00
1311.00,1311.00,0.00,3.00,160.00,0.00,596.00,0.00,2.00,7.00,325.00
3700.00,3700.00,0.00,10.00,165.00,0.00,597.00,3700.00,2.00,10.00,165.00
2275.00,2275.00,0.00,7.00,160.00,0.00,598.00,0.00,2.00,14.00,325.00
2275.00,2275.00,0.00,7.00,160.00,0.00,599.00,0.00,2.00,14.00,325.00
245000.00,245000.00,0.00,0.00,0.00,0.00,601.00,245000.00,0.00,0.00,0.00
1040.00,1040.00,0.00,0.00,0.00,0.00,602.00,1040.00,0.00,0.00,0.00
2610.00,2610.00,0.00,0.00,0.00,0.00,603.00,2610.00,0.00,0.00,0.00
1320.00,1320.00,0.00,0.00,0.00,0.00,604.00,1320.00,0.00,0.00,0.00
-6666.00,-6666.00,0.00,0.00,0.00,0.00,614.00,-6666.00,0.00,0.00,0.00
0.00,6860.00,-6860.00,0.00,0.00,0.00,623.00,6860.00,0.00,0.00,0.00
13400.00,13400.00,0.00,0.00,0.00,0.00,629.00,13400.00,0.00,0.00,0.00
6000.00,6000.00,0.00,0.00,0.00,0.00,631.00,6000.00,0.00,0.00,0.00
0.00,14740.00,-14740.00,0.00,0.00,0.00,642.00,0.00,0.00,0.00,0.00
-9000.00,-9000.00,0.00,0.00,0.00,0.00,643.00,-9000.00,0.00,0.00,0.00
3325.00,3823.00,-498.00,14.00,160.00,0.00,650.00,0.00,2.00,21.00,315.00
2625.01,2625.00,0.01,7.00,165.00,0.00,651.00,0.00,2.00,14.00,325.00
0.00,17080.00,-17080.00,0.00,0.00,0.00,658.00,0.00,0.00,0.00,0.00
13640.00,13640.00,0.00,0.00,0.00,0.00,665.00,13640.00,0.00,0.00,0.00
14660.00,14660.00,0.00,0.00,0.00,0.00,666.00,14660.00,0.00,0.00,0.00
3420.00,3420.00,0.00,0.00,0.00,0.00,670.00,3420.00,0.00,0.00,0.00
2114.00,2114.00,0.00,16.00,151.00,0.00,672.00,2114.00,1.00,16.00,151.00
7055.79,7055.00,0.79,21.00,151.00,0.00,674.00,0.00,2.00,21.00,151.00
330.00,330.00,0.00,7.00,151.00,0.00,675.00,330.00,1.00,7.00,151.00
10800.00,10800.00,0.00,0.00,0.00,0.00,677.00,10800.00,0.00,0.00,0.00
0.00,8909.00,-8909.00,0.00,0.00,0.00,687.00,0.00,0.00,0.00,0.00
3700.00,3700.00,0.00,7.00,165.00,0.00,690.00,3700.00,3.00,14.00,325.00
4000.00,4000.00,0.00,0.00,0.00,0.00,697.00,4000.00,0.00,0.00,0.00
14665.00,14665.00,0.00,0.00,0.00,0.00,703.00,14665.00,0.00,0.00,0.00
3300.00,3300.00,0.00,16.00,165.00,0.00,715.00,0.00,1.00,16.00,165.00
2575.00,2575.00,0.00,7.00,165.00,0.00,716.00,0.00,2.00,14.00,325.00
1500.01,1500.00,0.01,8.00,160.00,0.00,717.00,0.00,1.00,8.00,160.00
1696.25,1696.00,0.25,7.00,165.00,0.00,720.00,0.00,2.00,9.00,325.00
4788.00,4788.00,0.00,8.00,150.00,0.00,721.00,4788.00,3.00,14.00,310.00
31553.00,31553.00,0.00,0.00,0.00,0.00,722.00,31553.00,0.00,0.00,0.00
0.00,1155.00,-1155.00,0.00,0.00,0.00,724.00,0.00,0.00,0.00,0.00
0.00,4550.00,-4550.00,0.00,0.00,0.00,725.00,0.00,0.00,0.00,0.00
1015.00,1015.00,0.00,4.00,160.00,0.00,727.00,0.00,2.00,6.00,310.00
2110.00,2109.00,1.00,7.00,160.00,0.00,728.00,0.00,2.00,12.00,310.00
858.00,858.00,0.00,3.00,160.00,0.00,729.00,0.00,2.00,5.00,310.00
1905.00,1905.00,0.00,7.00,160.00,0.00,730.00,0.00,2.00,11.00,310.00
1565.07,1565.00,0.07,6.00,160.00,0.00,731.00,0.00,2.00,9.00,310.00
2800.00,2800.00,0.00,5.00,160.00,0.00,732.00,0.00,3.00,11.00,310.00
1265.00,1264.00,1.00,4.00,160.00,0.00,733.00,0.00,2.00,7.00,310.00
